,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
6,2005,Alabama,18,18,19,22,18,17,19,18,19,23,22,14,11,17,16,16,21,20,21,11,21
10,2005,Arizona,10,10,18,21,15,15,14,14,13,17,13,11,14,12,10,9,11,8,9,8,9
18,2005,Boston College,0,0,0,0,0,0,0,0,25,13,9,8,5,4,6,3,5,7,14,3,14
28,2005,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,18,25,0,18,0
44,2005,Cincinnati,0,0,0,0,0,25,22,22,23,18,20,21,18,21,24,24,22,21,23,18,23
63,2005,Duke,11,11,9,10,9,7,6,6,5,5,4,2,4,7,7,7,6,5,3,2,3
81,2005,Florida,23,23,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
99,2005,George Washington,0,0,0,0,21,19,20,20,24,21,0,0,0,0,0,0,0,0,0,19,0
118,2005,Georgia Tech,3,3,3,4,3,3,9,9,9,8,12,22,25,0,0,0,0,0,25,3,25
136,2005,Gonzaga,25,25,24,0,25,22,13,12,11,16,11,17,17,14,13,12,12,11,10,10,10
154,2005,Illinois,5,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,2005,Iowa,0,0,0,23,17,16,17,16,14,24,23,23,0,0,0,0,0,0,0,14,0
190,2005,Kansas,1,1,2,2,2,2,2,2,2,2,2,6,3,3,2,8,7,9,12,1,12
208,2005,Kentucky,9,9,8,8,10,9,8,8,8,9,8,7,6,5,3,5,3,4,7,3,7
226,2005,Louisville,14,14,12,17,13,13,18,19,17,19,14,12,9,9,12,11,9,6,4,4,4
245,2005,Marquette,0,0,0,0,0,0,0,0,0,22,25,0,0,0,0,0,0,0,0,22,0
263,2005,Maryland,15,15,13,12,23,23,24,24,22,0,0,0,22,0,22,0,0,0,0,12,0
281,2005,Memphis,24,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
301,2005,Michigan State,13,13,10,11,20,21,23,23,20,15,19,15,12,13,11,10,14,13,15,10,15
319,2005,Mississippi State,12,12,14,15,22,20,21,21,18,11,17,24,0,0,0,0,0,0,0,11,0
337,2005,NC State,19,19,17,16,12,12,16,17,0,0,0,0,0,0,0,0,0,0,0,12,0
355,2005,Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,24,0,24,0
373,2005,Notre Dame,20,20,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
391,2005,Oklahoma,0,0,0,0,0,0,0,0,0,25,18,13,15,16,21,22,20,17,17,13,17
410,2005,Oklahoma State,7,7,6,6,5,4,3,3,7,6,5,9,10,10,8,4,8,10,6,3,6
429,2005,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,19,17,18,22,17,22
430,2005,Pitt,17,17,16,13,11,10,10,10,16,20,21,20,16,18,17,18,24,22,0,10,0
448,2005,Syracuse,6,5,4,3,4,8,7,7,6,7,7,4,8,8,9,15,13,16,11,3,11
467,2005,Texas,16,16,15,18,14,14,15,15,15,10,15,16,20,23,0,0,0,0,0,10,0
485,2005,Texas Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,24,24,24
504,2005,UConn,8,8,7,7,7,11,11,11,10,12,16,19,23,19,18,17,15,12,13,7,13
522,2005,UNC,4,4,11,9,8,5,4,4,3,3,6,3,2,2,4,2,2,2,2,2,2
540,2005,Utah,0,0,0,0,0,0,0,0,0,0,0,25,21,15,14,13,16,15,18,13,18
541,2005,Villanova,0,0,0,0,0,0,0,0,0,0,0,0,24,22,25,23,19,19,19,19,19
560,2005,Virginia,0,0,0,24,19,24,25,25,0,0,0,0,0,0,0,0,0,0,0,19,0
578,2005,Wake Forest,2,2,1,1,6,6,5,5,4,4,3,5,7,6,5,6,4,3,5,1,5
598,2005,Washington,22,22,22,14,16,18,12,13,12,14,10,10,13,11,15,14,10,14,8,8,8
616,2005,West Virginia,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0
635,2005,Wisconsin,21,21,20,25,24,0,0,0,0,0,24,18,19,20,20,20,23,23,20,18,20
