,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
47,2017,Arizona,10,10,8,16,20,19,18,18,17,16,14,7,5,9,5,4,7,7,4,4,4
69,2017,Baylor,0,0,20,9,4,4,4,4,2,1,6,5,2,6,4,9,11,9,12,1,12
96,2017,Butler,0,0,0,18,16,18,13,13,18,12,13,11,16,22,24,22,13,18,21,11,21
97,2017,California,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
119,2017,Cincinnati,0,24,0,0,22,25,24,23,22,22,20,19,14,11,18,15,18,15,18,11,18
120,2017,Creighton,22,22,12,10,10,10,9,10,10,8,7,16,22,23,20,23,0,0,0,7,0
147,2017,Duke,1,1,6,5,5,5,5,5,8,7,18,17,21,18,12,10,17,14,7,1,7
148,2017,Florida,0,0,0,24,21,0,0,25,24,23,19,25,24,17,15,13,12,17,20,12,20
171,2017,Florida State,0,0,25,0,0,23,21,20,12,9,10,6,15,14,17,19,15,16,16,6,16
172,2017,Gonzaga,14,14,11,8,8,8,7,7,5,5,4,3,1,1,1,1,4,4,2,1,2
197,2017,Indiana,11,6,3,13,9,9,16,16,25,0,0,0,0,0,0,0,0,0,0,3,0
221,2017,Iowa State,24,20,21,19,25,0,0,0,0,0,0,0,0,0,0,0,24,23,16,16,16
249,2017,Kansas,3,7,5,4,3,3,3,3,3,2,2,2,3,3,3,3,1,1,3,1,3
273,2017,Kansas State,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0
274,2017,Kentucky,2,2,1,1,6,6,6,8,6,6,5,4,8,15,13,11,9,8,5,1,5
301,2017,Louisville,13,12,10,14,11,11,10,6,9,14,12,13,6,4,8,7,8,10,10,4,10
302,2017,Maryland,25,0,0,0,0,0,0,0,0,0,25,22,17,21,23,24,0,25,0,17,0
329,2017,Miami (FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0
330,2017,Michigan,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23
364,2017,Michigan State,12,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
399,2017,Minnesota,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0
400,2017,Northwestern,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0
435,2017,Notre Dame,0,0,0,0,23,21,25,24,23,20,15,14,20,0,25,21,19,22,14,14,14
436,2017,Oregon,5,4,13,23,24,22,20,21,15,13,11,10,13,5,7,6,6,5,9,4,9
470,2017,Purdue,15,15,17,15,18,15,15,15,20,17,21,20,23,16,16,14,16,13,15,13,15
471,2017,Rhode Island,23,21,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
504,2017,SMU,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,17,14,12,11,11,11
534,2017,Saint Mary's,17,17,15,12,12,20,19,19,19,21,23,21,18,20,22,20,20,19,22,12,22
535,2017,South Carolina,0,0,0,20,19,16,22,0,0,0,24,23,19,19,21,0,0,0,0,16,0
570,2017,Syracuse,19,18,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
571,2017,Texas,21,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
605,2017,UCLA,16,16,14,11,2,2,2,2,4,4,3,8,11,10,6,5,3,3,8,2,8
606,2017,UConn,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
637,2017,UNC,6,5,4,3,7,7,8,9,14,11,9,9,12,8,10,8,5,6,6,3,6
638,2017,USC,0,0,0,0,0,24,23,22,25,25,0,0,0,0,0,0,0,0,0,22,0
669,2017,Villanova,4,3,2,2,1,1,1,1,1,3,1,1,4,2,2,2,2,2,1,1,1
670,2017,Virginia,8,8,7,6,14,13,12,12,11,19,16,12,9,12,14,18,23,21,24,6,24
701,2017,Virginia Tech,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0
702,2017,West Virginia,20,19,19,25,15,12,11,11,7,10,7,18,7,13,9,12,10,11,13,7,13
730,2017,Wichita State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,20,19,19,19
731,2017,Wisconsin,9,9,16,17,17,14,14,14,13,18,17,15,10,7,11,16,22,24,25,7,25
760,2017,Xavier,7,11,9,7,13,17,17,17,16,15,22,24,0,24,0,0,0,0,0,7,0
