,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
0,1.0,2,Villanova,BE,35-5,32.01,122.8,90.8,66.0,0.023,10.74,110.5,99.7,2.98
1,2.0,1,North Carolina,ACC,33-7,29.82,124.4,94.6,70.5,-0.055,11.45,111.7,100.2,3.13
2,3.0,1,Kansas,B12,33-5,29.67,120.0,90.4,69.0,0.044,12.61,111.4,98.8,3.62
3,4.0,1,Virginia,ACC,29-8,29.64,120.6,91.0,61.3,-0.04,12.67,112.1,99.5,4.98
4,5.0,2,Michigan St.,B10,29-6,27.97,123.4,95.5,66.5,-0.012,7.19,107.5,100.3,0.4
5,6.0,4,Kentucky,SEC,27-9,25.14,121.8,96.6,67.4,-0.046,8.37,108.6,100.3,3.19
6,8.0,3,West Virginia,B12,26-9,24.45,115.3,90.9,69.5,0.003,11.24,110.9,99.6,0.72
7,9.0,5,Purdue,B10,26-9,23.85,116.9,93.1,67.9,-0.046,7.43,109.1,101.7,-2.67
8,10.0,2,Oklahoma,B12,29-8,23.78,117.9,94.1,69.8,0.082,13.05,111.5,98.5,2.7
9,11.0,5,Indiana,B10,27-8,23.05,121.7,98.7,68.2,0.0,6.4,108.8,102.4,-3.12
10,12.0,1,Oregon,P12,31-7,22.68,119.1,96.4,68.1,0.041,9.06,109.0,100.0,1.04
11,13.0,11,Wichita St.,MVC,26-9,22.53,111.3,88.7,66.0,-0.079,3.61,104.8,101.2,6.45
12,14.0,2,Xavier,BE,28-6,22.52,117.1,94.6,71.9,0.047,8.16,108.2,100.0,1.73
13,15.0,3,Miami FL,ACC,27-8,22.44,119.4,96.9,65.9,0.077,11.67,111.6,99.9,2.63
14,17.0,4,Duke,ACC,25-11,21.87,121.9,100.0,67.7,-0.026,11.23,112.0,100.7,3.52
15,18.0,3,Texas A&M,SEC,28-9,21.26,113.8,92.5,67.1,0.006,8.48,109.6,101.1,3.15
16,19.0,6,Arizona,P12,25-9,20.97,116.8,95.8,68.3,-0.038,6.66,107.9,101.3,-3.66
17,20.0,4,Iowa St.,B12,23-12,20.95,121.2,100.3,71.2,-0.062,12.05,110.2,98.1,2.54
18,21.0,11,Gonzaga,WCC,28-8,20.82,116.3,95.5,67.3,-0.038,3.51,107.3,103.8,6.12
19,22.0,5,Maryland,B10,27-9,20.25,116.2,95.9,67.4,0.016,8.6,109.2,100.6,-1.86
20,23.0,7,Iowa,B10,22-11,20.24,116.1,95.9,68.8,-0.071,9.12,110.2,101.1,1.28
21,24.0,5,Baylor,B12,22-12,19.06,118.9,99.8,66.6,-0.012,11.21,109.7,98.4,-3.12
22,25.0,11,Vanderbilt,SEC,19-14,18.76,113.6,94.9,67.8,-0.106,8.6,109.2,100.6,3.68
23,26.0,9,Connecticut,Amer,25-11,18.71,111.9,93.2,65.9,-0.036,6.17,107.6,101.4,-0.91
24,27.0,10,Syracuse,ACC,23-14,18.57,112.7,94.1,65.0,-0.027,10.21,110.9,100.7,-0.82
25,28.0,4,California,P12,23-11,18.32,112.5,94.2,68.1,-0.053,7.65,109.4,101.8,-2.58
26,29.0,6,Seton Hall,BE,25-9,18.27,111.1,92.9,69.7,0.016,8.55,108.5,100.0,-2.92
27,30.0,9,Butler,BE,22-11,17.27,118.0,100.7,67.9,-0.009,8.1,108.5,100.4,-4.1
28,31.0,10,VCU,A10,25-11,17.07,112.1,95.0,69.6,-0.07,3.82,107.3,103.5,0.95
29,32.0,9,Cincinnati,Amer,22-11,17.06,111.2,94.1,64.0,-0.067,5.2,107.3,102.1,-1.21
30,33.0,3,Utah,P12,27-9,16.79,115.6,98.8,65.3,0.112,9.79,109.8,100.0,1.9
31,36.0,6,Notre Dame,ACC,24-12,16.6,120.6,104.0,64.6,0.054,10.75,111.3,100.5,-1.64
32,37.0,10,Pittsburgh,ACC,21-12,16.6,114.9,98.3,65.3,-0.011,9.06,110.8,101.7,-7.02
33,38.0,7,Wisconsin,B10,22-13,16.55,110.1,93.6,63.3,-0.022,9.57,110.3,100.7,1.24
34,39.0,6,Texas,B12,20-13,16.19,113.0,96.8,65.3,0.022,12.54,111.5,99.0,5.55
35,41.0,14,Stephen F. Austin,Slnd,28-6,15.62,112.2,96.6,67.3,0.007,-5.88,102.7,108.6,4.79
36,43.0,8,Saint Joseph's,A10,28-8,15.37,114.3,98.9,70.2,0.03,4.66,107.0,102.3,1.97
37,44.0,9,Providence,BE,24-11,14.49,110.0,95.5,68.4,0.062,8.93,109.5,100.6,-3.13
38,47.0,12,Yale,Ivy,23-7,14.33,110.4,96.0,66.0,0.026,-0.85,105.5,106.4,-1.0
39,49.0,8,USC,P12,21-13,14.25,113.9,99.7,71.0,-0.028,7.61,108.7,101.1,-1.65
40,50.0,11,Michigan,B10,23-13,14.15,114.6,100.5,65.8,0.013,8.96,110.1,101.1,-2.15
41,54.0,8,Texas Tech,B12,19-13,13.78,113.2,99.4,66.0,0.028,10.66,110.4,99.7,0.62
42,56.0,12,Arkansas Little Rock,SB,30-5,13.24,109.2,96.0,63.4,0.056,-0.77,104.2,104.9,-0.2
43,57.0,8,Colorado,P12,22-12,12.91,108.8,95.9,69.0,0.015,7.51,109.5,102.0,-2.15
44,59.0,7,Dayton,A10,25-8,12.63,106.6,94.0,67.8,0.082,3.89,107.3,103.4,2.58
45,60.0,13,Hawaii,BW,28-6,12.16,108.2,96.1,70.6,0.013,-2.32,102.5,104.9,-8.92
46,64.0,7,Oregon St.,P12,19-13,11.65,110.7,99.1,67.1,0.043,9.61,109.8,100.2,0.46
47,65.0,11,Tulsa,Amer,20-12,11.5,111.2,99.7,68.4,-0.003,5.54,107.0,101.4,1.46
48,67.0,11,Northern Iowa,MVC,23-13,11.13,109.6,98.5,62.9,0.013,4.8,106.1,101.3,7.57
49,80.0,12,South Dakota St.,Sum,26-8,9.57,111.4,101.8,68.3,0.004,-0.23,104.6,104.8,1.91
50,83.0,13,UNC Wilmington,CAA,25-8,9.21,110.7,101.5,70.3,0.033,0.85,105.7,104.9,-3.9
51,86.0,10,Temple,Amer,21-12,8.82,107.0,98.1,65.9,0.095,6.33,107.8,101.5,3.7
52,94.0,13,Stony Brook,AE,26-7,8.13,107.3,99.1,67.2,0.049,-5.6,103.3,108.9,4.38
53,104.0,13,Iona,MAAC,22-11,7.13,110.5,103.4,71.9,-0.005,-1.78,103.7,105.5,5.71
54,108.0,14,Fresno St.,MWC,25-10,6.63,107.4,100.8,69.0,0.085,1.65,105.3,103.7,-2.89
55,109.0,12,Chattanooga,SC,29-6,6.5,107.5,101.0,66.3,0.132,-3.18,104.4,107.6,-0.04
56,110.0,15,Cal St. Bakersfield,WAC,24-9,6.26,104.0,97.8,67.6,-0.003,-6.5,100.6,107.1,-2.99
57,119.0,15,Middle Tennessee,CUSA,25-10,4.76,104.6,99.9,67.6,0.088,-0.58,105.5,106.1,2.11
58,127.0,14,Green Bay,Horz,23-13,3.74,108.3,104.6,76.2,0.057,0.11,104.4,104.3,1.92
